DX,DATE,UTC,FREQUENCY,MODE,RST,WKD,PATH,SUBMITTER,REMARKS,SQSL,RQSL,QSL_info
165AT108,07/05/2025,14:17,27560,USB,5/6,WKD,SP,30AT213,"Gracias 73's",2025-05-20,,
14VD010,07/05/2025,14:03,27560,USB,5/7,WKD,SP,30AT213,,2025-05-20,2025-06-11,
18VOG/EU113/EI,07/05/2025,13:48,27615,USB,5/9,WKD,SP,30AT213,,,,
1VA0607,07/05/2025,15:37,27560,USB,5/3,WKD,SP,30AT213,"73 Luca",2025-05-08,2025-05-08,
34AO103,06/05/2025,19:33,27595,USB,5/9,WKD,SP,30AT213,"Gracias 73's",2025-05-07,,
1AT029,06/05/2025,19:30,27490,USB,5/9,WKD,SP,30AT213,"Gracias 73's",2025-05-07,,
3KPI001,06/05/2025,19:21,27560,USB,5/9,WKD,SP,30AT213,"Gracias 73's",,,
1AT260,06/05/2025,19:21,27570,USB,5/9,WKD,SP,30AT213,"Gracias 73's Peppe",2025-05-07,,
1LR090,04/05/2025,15:13,27580,USB,5/9,WKD,SP,30AT213,"73's Paolo",2025-05-05,,
18RC113,04/05/2025,14:51,27560,USB,5/9,WKD,SP,30AT213,"Muchas Gracias por el QSO  Dimitris! 73's",2025-05-05,2025-05-05,
3DA148,01/05/2025,17:38,27580,USB,5/6,WKD,SP,30AT213,,2025-05-01,,
56AT202,01/05/2025,16:06,27420,USB,5/9,WKD,SP,30AT213,,2025-05-01,,
196ED126,01/05/2025,15:28,27715,USB,5/7,WKD,SP,30AT213,,2025-05-01,2025-05-23,
233HA911,01/05/2025,14:55,27560,USB,5/7,WKD,SP,30AT213,,2025-05-01,,
93RC/EU023,01/05/2025,14:53,27490,USB,5/9,WKD,SP,30AT213,,,,
3KPI001,29/04/2025,12:49,27560,USB,5/9,WKD,SP,30AT213,,,,
178AT212,27/04/2025,18:55,27540,USB,5/9,WKD,SP,30AT213,,,,
5SR101,27/04/2025,18:33,27580,USB,5/7,WKD,SP,30AT213,,,,
92KPI102,27/04/2025,18:01,27550,USB,5/7,WKD,SP,30AT213,,,,
56LR666,27/04/2025,17:31,27485,USB,5/9+40,WKD,SP,30AT213,,,,
18VOG101,27/04/2025,17:07,27600,USB,5/9,WKD,SP,30AT213,,2025-05-01,,
3AT000/A,27/04/2025,17:24,27690,USB,5/7,WKD,SP,30AT213,,,,
3AT/IMD,27/04/2025,17:28,27605,USB,5/9,WKD,SP,30AT213,,,,
3AT059/IMD,27/04/2025,16:46,27497,USB,5/7,WKD,SP,30AT213,,,,
1AT029,24/04/2025,18:31,27565,USB,5/9,WKD,SP,30AT213,,,,
56PJ004,24/04/2025,17:38,27560,USB,5/9,WKD,SP,30AT213,,,,
12CI111,24/04/2025,15:43,27520,USB,5/5,WKD,SP,30AT213,,,,
48KPI001,01/05/2025,16:27,27675,USB,5/7,WKD,SP,30AT213,"Thank You for the QSO 73",2025-05-01,2025-05-01,
90OP04,28/04/2025,13:01,27525,USB,5/7,WKD,SP,30AT213,,,,
21CT034,24/04/2025,18:14,27560,USB,5/9,WKD,SP,30AT213,"Thanks Nick! 73’s",2025-05-01,,
90RC/EU015,24/04/2025,16:38,27710,USB,5/9,WKD,SP,30AT213,,,,
56DX113,20/04/2025,14:44,27525,USB,5/9,WKD,SP,30AT213,"Thanks for the QSO Panu 73’s",2025-04-20,,
21HK919,20/04/2025,10:34,27560,USB,5/9,WKD,SP,30AT213,,2025-04-20,,
332TW502,20/04/2025,14:59,27550,USB,5/8,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-20,2025-04-20,
34RC/S012A,19/04/2025,16:29,27680,USB,5/8,WKD,SP,30AT213,,,,
50EK010,19/04/2025,16:18,27575,USB,5/7,WKD,SP,30AT213,,2025-04-19,2025-04-27,
5RC/SA012,19/04/2025,16:20,27560,USB,5/6,WKD,SP,30AT213,,,,
34AT121,19/04/2025,17:20,27575,USB,5/9,WKD,SP,30AT213,"GRACIAS JUAN CARLOS ",2025-04-19,,
233YO073,19/04/2025,14:53,27575,USB,5/9,WKD,SP,30AT213,,2025-04-19,,
21CT034,19/04/2025,14:18,27575,USB,5/9,WKD,SP,30AT213,,2025-04-19,,
56KPI001,19/04/2025,14:20,27545,USB,5/9,WKD,SP,30AT213,,,,
173AT111,19/04/2025,17:17,27590,USB,5/6,WKD,SP,30AT213,,,,
21HK919,19/04/2025,14:10,27560,USB,5/7,WKD,SP,30AT213,,2025-04-19,2025-04-20,
317SD471,19/04/2025,17:16,27425,USB,5/9,WKD,SP,30AT213,,,,
315RB101,19/04/2025,10:50,27560,USB,5/5,WKD,SP,30AT213,,,,
30AR01,18/04/2025,16:47,27570,USB,5/9+5dB,WKD,SP,30AT213,,,,
50ET115,18/04/2025,13:04,27570,USB,5/7,WKD,SP,30AT213,"Thanks for the QSO 73’s",2025-04-19,,
72EK011,17/04/2025,15:16,27520,USB,5/3,WKD,SP,30AT213,"Gracias Ruth",2025-04-19,,
9AT092,16/04/2025,13:47,27540,USB,5/7,WKD,SP,30AT213,"73’s thanks for the contact",2025-04-19,2025-05-01,
6RC666,16/04/2025,16:42,27527,USB,5/1,WKD,SP,30AT213,"73’s Anibal",2025-04-19,,
332TW502,19/04/2025,14:36,27545,USB,5/8,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-19,2025-04-19,
18VOG127,19/04/2025,11:45,27570,USB,5/6,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-19,2025-04-19,
161WGC209,31/03/2025,16:59,27560,USB,5/9,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-09,2025-04-09,
13DM031,06/04/2025,18:34,27560,USB,5/9,WKD,SP,30AT213,"Thanks 73's",2025-04-07,,
14ED058,06/04/2025,18:28,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-04-07,2025-04-07,
13LA001,06/04/2025,18:15,27545,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
16ZK001,06/04/2025,18:10,27410,USB,5/9+40dB,WKD,SP,30AT213,"Thanks 73's",2025-04-07,,
19HO956,06/04/2025,17:59,27495,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
165CT587,06/04/2025,17:52,27500,USB,4/3,WKD,SP,30AT213,"Thanks 73's",2025-04-07,,
13NF66,06/04/2025,17:33,27500,USB,5/7,WKD,SP,30AT213,"Gracias 73's",,,
16PAT201,06/04/2025,10:46,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-04-07,,
11AT121,06/04/2025,10:45,27560,USB,5/5,WKD,SP,30AT213,"Gracias 73's",,,"QSL en Papel"
14AT261,06/04/2025,10:50,27570,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-04-07,,"QSL en Papel"
26AT561,06/04/2025,10:27,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-04-07,,
13RF300,06/04/2025,10:24,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
26WW113,06/04/2025,10:17,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-04-07,2025-04-09,
29AT121,06/04/2025,10:11,27495,USB,5/7,WKD,SP,30AT213,"Thanks 73's  Tom!",,,
116TA059,06/04/2025,10:06,27445,USB,5/7,WKD,SP,30AT213,"Hakan thanks for the QSO 73's",2025-04-07,,
16PAT201,06/04/2025,17:32,27500,USB,5/8,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-06,2025-04-06,
19EK567,06/04/2025,17:51,27510,USB,5/7,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-06,2025-04-06,
14NB101,06/04/2025,11:14,27560,USB,5/8,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-06,2025-04-06,
317SD471,04/04/2025,15:47,27605,USB,5/9,WKD,SP,30AT213,"Thanks 73's  Valentin",,,
3KPI001,04/04/2025,13:23,27560,USB,5/7,WKD,SP,30AT213,"Thanks 73's",,,
13IR100,03/04/2025,16:23,27565,USB,5/9,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-04,2025-04-04,
2AT545,02/04/2025,15:08,27520,USB,5/3,WKD,SP,30AT213,"Thanks 73's",2025-04-03,2025-04-04,
18SM003,02/04/2025,14:48,27520,USB,5/5,WKD,SP,30AT213,"Thanks 73's",,,
18VOG101,02/04/2025,14:42,27565,USB,5/7,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-02,2025-04-02,
18VOG123,02/04/2025,14:46,27565,USB,5/5,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-02,2025-04-02,
56LR555,01/04/2025,18:20,27567,USB,5/7,WKD,SP,30AT213,"Thanks 73's",2025-04-02,,
12CI111,01/04/2025,17:54,27580,USB,5/5,WKD,SP,30AT213,"Gracias Luis 73's",2025-04-02,2025-04-02,
161AT104,01/04/2025,17:44,27600,USB,5/9,WKD,SP,30AT213,"Thanks 73's",2025-04-02,,
331AB321,01/04/2025,17:39,27560,USB,5/9+40dB,WKD,SP,30AT213,"Thanks 73's",2025-04-02,2025-04-02,
109HA756,01/04/2025,17:24,27665,USB,5/9,WKD,SP,30AT213,"Thanks 73's",2025-04-02,2025-04-10,
161AT147,01/04/2025,17:03,27530,USB,5/9,WKD,SP,30AT213,"73's Waldek!",2025-04-02,,
34AT192,01/04/2025,16:56,27490,USB,5/9+10dB,WKD,SP,30AT213,"Muchas Gracias Nando! 73's",,,
274AT/0,01/04/2025,15:53,27640,USB,5/9,WKD,SP,30AT213,"New One!",,,
161SL86,01/04/2025,16:09,27525,USB,5/6,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-01,2025-04-01,
45PAT2011,01/04/2025,17:51,27570,USB,5/9,WKD,SP,30AT213,"Thank You for the QSO 73",2025-04-01,2025-04-01,
161SJ800,31/03/2025,17:15,27560,USB,5/7,WKD,SP,30AT213,"Thank You for the QSO 73",2025-03-31,2025-03-31,
161KPI001,31/03/2025,15:16,27500,USB,5/9+5dB,WKD,SP,30AT213,"Thank You for the QSO 73",2025-03-31,2025-03-31,
20LA314,31/03/2025,17:40,27560,USB,5/8,WKD,SP,30AT213,"Thank You for the QSO 73",2025-03-31,2025-03-31,
102EK777,31/03/2025,16:12,27500,USB,5/9+10dB,WKD,SP,30AT213,"Thank You for the QSO 73",2025-03-31,2025-03-31,
161AE161,30/03/2025,15:59,27500,USB,5/9,WKD,SP,30AT213,"Thanks 73's Duane",2025-03-31,,
56LR001,30/03/2025,15:58,27680,USB,5/9,WKD,SP,30AT213,"Thanks 73's Mike",2025-03-31,,
44EK150,30/03/2025,15:52,27560,USB,5/9,WKD,SP,30AT213,"Thanks Zain 73's",2025-03-31,,
20NS005,30/03/2025,10:04,27495,USB,5/9,WKD,SP,30AT213,"Thanks 73's",,,
20L11,30/03/2025,10:27,27560,USB,5/9,WKD,SP,30AT213,"Thanks 73's",,,
